comune,pro_com_t,den_prov,ordinanza_trovata,tipo_trovato,numero_ordinanza,data_ordinanza,tipo_restrizione,fonte_url,note
Alia,082001,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Alimena,082002,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Altavilla Milicia,082004,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Altofonte,082005,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Balestrate,082007,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Baucina,082008,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Belmonte Mezzagno,082009,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Bolognetta,082011,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Caccamo,082014,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Campofelice di Fitalia,082016,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Capaci,082020,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Carini,082021,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Casteldaccia,082023,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune menzionato per disservizi idrici da rottura acquedotto Scillato. Servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023).
Castellana Sicula,082024,Palermo,false,,,,https://www.comune.castellana-sicula.pa.it/novita/vademecum-risparmio-idrico/,Trovato solo Vademecum risparmio idrico sul sito comunale (senza ordinanza formale). Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Il vademecum suggerisce comportamenti virtuosi ma non costituisce ordinanza sindacale con sanzioni.,
Castronovo di Sicilia,082025,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Cefalà Diana,082026,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune (900 ab.) servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Cefalù,082027,Palermo,false,,,,,,Nessuna evidenza specifica di ordinanza risparmio idrico trovata. Ricerca approfondita su news locali e sito comunale. Cefalù è servita da acquedotto autonomo. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023).
Chiusa Sclafani,082029,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Ciminna,082030,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Contessa Entellina,082033,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Corleone,082034,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Ficarazzi,082035,Palermo,false,decisione_azienda,,2024-10-30,Razionamento idrico: interruzione erogazione un giorno a settimana (mer-gio 08:00-08:00),https://www.direttasicilia.it/2024/10/25/razionamento-acqua-misilmeri-ficarazzi/,Razionamento idrico AMAP dal 30 ottobre 2024 per Ficarazzi. Non si tratta di ordinanza sindacale di risparmio idrico in senso stretto ma di misura di razionamento gestita da AMAP per riduzione dei volumi negli invasi (70% in meno rispetto all'anno precedente). Inclusa per segnalare misure attive nel 2024. [Reclassificato: non è un'ordinanza sindacale ma un piano di razionamento AMAP (decisione aziendale). Ordinanza_trovata=false.]
Gangi,082036,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Giardinello,082038,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Giuliana,082039,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Godrano,082040,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Gratteri,082041,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Lascari,082044,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Marineo,082046,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Mezzojuso,082047,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Misilmeri,082048,Palermo,false,decisione_azienda,,2024-10-30,Razionamento idrico: interruzione erogazione un giorno a settimana nel distretto Portella di Mare,https://www.blogsicilia.it/palermo/razionamento-acqua-misilmeri-ficarazzi-scatta-piano-date-orari/1069218/,Razionamento idrico AMAP dal 30 ottobre 2024 per Portella di Mare (distretto di Misilmeri). Non si tratta di ordinanza sindacale di risparmio idrico in senso stretto ma di misura di razionamento gestita da AMAP. Inclusa per segnalare misure attive nel 2024. [Reclassificato: non è un'ordinanza sindacale ma un piano di razionamento AMAP (decisione aziendale). Ordinanza_trovata=false.]
Monreale,082049,Palermo,false,,,,,,Nessuna evidenza specifica di ordinanza risparmio idrico trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca approfondita su sito comunale (comune.monreale.pa.it) e news locali.
Partinico,082054,Palermo,true,ordinanza_sindacale,43,2024-07-03,"Conservazione risorse idriche e limitazione uso acqua potabile. Divieti per irrigazione, lavaggio veicoli, fontane, piscine.",https://www.comune.partinico.pa.it/novita/azioni-e-buone-pratiche-finalizzate-al-risparmio-idrico-potabile-e-alla-riduzione-dei-consumi/,Ordinanza n. 43 del 3 luglio 2024 del sindaco di Partinico. Trovata su sito istituzionale del Comune. Testo completo in allegato PDF (ordinanza43del03.07.2024).
Petralia Sottana,082056,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Piana degli Albanesi,082057,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP (citato da AMAP per variazione piano erogazione idrica). Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Polizzi Generosa,082058,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Pollina,082059,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Prizzi,082060,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Il bacino di Prizzi è uno degli invasi citati nella crisi idrica. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Roccamena,082061,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Roccapalumba,082062,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
San Cipirello,082063,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
San Giuseppe Jato,082064,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Santa Cristina Gela,082066,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Sclafani Bagni,082069,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Termini Imerese,082070,Palermo,false,,,2024-05-30,,https://www.amapspa.it/it/ordinanza-di-non-potabilita-del-sindaco-di-termini-imerese-ecco-le-utenze-interessate-dal-divieto/,"Trovata ordinanza n.462 del 30/05/2024 ma relativa a non potabilità dell'acqua in alcune contrade (acquedotto Scillato), non a risparmio idrico. Provincia di Palermo inclusa nell'emergenza regionale. Non si tratta di ordinanza risparmio idrico in senso stretto."
Torretta,082072,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Trabia,082073,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Trappeto,082074,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Ustica,082075,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Isola con acquedotto autonomo. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Valledolmo,082076,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Ventimiglia di Sicilia,082077,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Villabate,082079,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Citato per disservizi idrici da rottura acquedotto Scillato. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023).
Villafrati,082080,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Comune servito da AMAP. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Scillato,082081,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune (sede dell'acquedotto Nuovo Scillato). Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Blufi,082082,Palermo,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune. Provincia di Palermo inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali.
Alcara li Fusi,083001,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale (delibera GR n.100/2023). La Regione aveva richiesto ai sindaci di adottare il vademecum commissariale. Ricerca effettuata su siti istituzionali e news locali.
Antillo,083004,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Basicò,083006,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Brolo,083007,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Capo d'Orlando,083009,Messina,false,,,,,,Nessuna evidenza di ordinanza risparmio idrico 2024 trovata. Trovata solo storica ordinanza di non potabilità. Comune nella provincia di Messina inclusa nell'emergenza regionale. Nel 2022 furono adottate misure di razionamento. Ricerca effettuata su siti istituzionali (comune.capodorlando.me.it) e news locali.
Capri Leone,083010,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Caronia,083011,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Casalvecchio Siculo,083012,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Castel di Lucio,083013,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Castelmola,083015,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Castroreale,083016,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Falcone,083019,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Fiumedinisi,083021,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Fondachelli-Fantina,083023,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Frazzanò,083026,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Furnari,083028,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Gaggi,083029,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Gallodoro,083031,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Gioiosa Marea,083033,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Graniti,083034,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Leni,083037,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune delle isole Eolie (Salina). Provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Letojanni,083038,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Limina,083040,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Lipari,083041,Messina,false,,,,,,Nessuna evidenza di ordinanza risparmio idrico 2024 trovata. Trovata solo ordinanza di non potabilità del sindaco Riccardo Gullo (gennaio 2025 - fuori perimetro). Comune isola Eolie. Provincia di Messina inclusa nell'emergenza regionale.
Longi,083042,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Malfa,083043,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune isola Eolie (Salina). Provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Malvagna,083044,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Mandanici,083045,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Mazzarrà Sant'Andrea,083046,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Merì,083047,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Milazzo,083049,Messina,true,notizia_ordinanza,,2024 (estate),"Divieto prelievo acqua dalla rete idrica per usi non domestici (irrigazione, lavaggio veicoli/cortili, piscine, fontane ornamentali) nel periodo estivo fino al 22 settembre",https://www.comune.milazzo.me.it/ordinanza-del-sindaco-vietati-usi-impropri-dellacqua/,Ordinanza annuale estiva del sindaco Pippo Midili confermata per il 2024. URL ufficiale presente su sito comunale ma non più accessibile (404). Evidenza da risultati di ricerca (giugno 2024). Provincia di Messina inclusa nell'emergenza regionale (delibera GR n.100/2023).
Mirto,083051,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Mistretta,083052,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Moio Alcantara,083053,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Montagnareale,083056,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Montalbano Elicona,083057,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Motta Camastra,083058,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Motta d'Affermo,083059,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Nizza di Sicilia,083061,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Novara di Sicilia,083062,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Oliveri,083063,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Pace del Mela,083064,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Pettineo,083067,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Piraino,083068,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Raccuja,083069,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Roccalumera,083072,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Roccella Valdemone,083074,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Rodì Milici,083075,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Rometta,083076,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
San Fratello,083078,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
San Pier Niceto,083080,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Sant'Alessio Siculo,083085,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Santa Marina Salina,083087,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune isola Eolie (Salina). Provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
